Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,0,0.000000,0,9436,0.000105,324896,0,9436,0,0.000000
1,0,0.000000,0,9290,0.000107,319933,0,9290,0,0.000000
2,0,0.000000,0,9503,0.000104,327389,0,9503,0,0.000000
3,0,0.000000,0,9598,0.000103,330494,0,9598,0,0.000000
4,0,0.000000,0,9704,0.000102,334215,0,9704,0,0.000000
5,0,0.000000,0,9650,0.000103,332374,0,9650,0,0.000000
6,0,0.000000,0,9664,0.000103,332849,0,9664,0,0.000000
7,0,0.000000,0,9518,0.000104,327845,0,9518,0,0.000000
8,0,0.000000,0,9573,0.000104,329733,0,9573,0,0.000000
9,0,0.000000,0,9588,0.000103,330252,0,9588,0,0.000000
10,0,0.000000,0,9407,0.000105,324186,0,9407,0,0.000000
11,0,0.000000,0,9645,0.000103,332276,0,9645,0,0.000000
12,0,0.000000,0,9553,0.000104,328968,0,9553,0,0.000000
13,0,0.000000,0,9387,0.000106,323192,0,9387,0,0.000000
14,0,0.000000,0,9472,0.000105,326270,0,9472,0,0.000000
15,0,0.000000,0,9643,0.000103,332091,0,9643,0,0.000000
16,0,0.000000,0,9693,0.000102,333911,0,9693,0,0.000000
17,0,0.000000,0,9636,0.000103,331938,0,9636,0,0.000000
18,0,0.000000,0,9539,0.000104,328520,0,9539,0,0.000000
19,0,0.000000,0,9530,0.000104,328172,0,9530,0,0.000000
20,0,0.000000,0,9689,0.000102,333801,0,9689,0,0.000000
21,0,0.000000,0,9590,0.000103,330381,0,9590,0,0.000000
22,0,0.000000,0,9619,0.000103,331308,0,9619,0,0.000000
23,0,0.000000,0,9557,0.000104,329280,0,9557,0,0.000000
24,0,0.000000,0,9627,0.000103,331612,0,9627,0,0.000000
25,0,0.000000,0,9642,0.000103,332102,0,9642,0,0.000000
26,0,0.000000,0,10085,0.000098,347471,0,10085,0,0.000000
27,0,0.000000,0,9949,0.000100,342616,0,9949,0,0.000000
28,0,0.000000,0,10070,0.000099,346960,0,10070,0,0.000000
29,0,0.000000,0,9934,0.000100,342124,0,9934,0,0.000000
30,0,0.000000,0,1,0.000603,34,0,1,0,0.000000

Full-Test GET Latency
Latency (<= msec),Percent
   0.031,0.000
   0.047,5.000
   0.055,10.000
   0.063,15.000
   0.063,20.000
   0.071,25.000
   0.071,30.000
   0.079,35.000
   0.079,40.000
   0.079,45.000
   0.087,50.000
   0.087,52.500
   0.087,55.000
   0.087,57.500
   0.087,60.000
   0.087,62.500
   0.087,65.000
   0.087,67.500
   0.095,70.000
   0.095,72.500
   0.095,75.000
   0.095,76.250
   0.095,77.500
   0.095,78.750
   0.095,80.000
   0.095,81.250
   0.095,82.500
   0.095,83.750
   0.095,85.000
   0.103,86.250
   0.103,87.500
   0.103,88.125
   0.103,88.750
   0.103,89.375
   0.103,90.000
   0.103,90.625
   0.103,91.250
   0.103,91.875
   0.111,92.500
   0.111,93.125
   0.111,93.750
   0.119,94.062
   0.119,94.375
   0.127,94.688
   0.143,95.000
   0.551,95.312
   0.575,95.625
   0.591,95.938
   0.599,96.250
   0.607,96.562
   0.615,96.875
   0.623,97.031
   0.623,97.188
   0.631,97.344
   0.631,97.500
   0.639,97.656
   0.639,97.812
   0.647,97.969
   0.647,98.125
   0.655,98.281
   0.655,98.438
   0.655,98.516
   0.663,98.594
   0.663,98.672
   0.663,98.750
   0.663,98.828
   0.671,98.906
   0.671,98.984
   0.671,99.062
   0.679,99.141
   0.679,99.219
   0.679,99.258
   0.679,99.297
   0.687,99.336
   0.687,99.375
   0.687,99.414
   0.687,99.453
   0.687,99.492
   0.695,99.531
   0.695,99.570
   0.695,99.609
   0.695,99.629
   0.703,99.648
   0.703,99.668
   0.703,99.688
   0.703,99.707
   0.703,99.727
   0.711,99.746
   0.711,99.766
   0.711,99.785
   0.711,99.805
   0.711,99.814
   0.719,99.824
   0.719,99.834
   0.719,99.844
   0.719,99.854
   0.719,99.863
   0.727,99.873
   0.727,99.883
   0.727,99.893
   0.727,99.902
   0.727,99.907
   0.735,99.912
   0.735,99.917
   0.735,99.922
   0.735,99.927
   0.735,99.932
   0.743,99.937
   0.743,99.941
   0.743,99.946
   0.743,99.951
   0.743,99.954
   0.751,99.956
   0.751,99.958
   0.751,99.961
   0.751,99.963
   0.759,99.966
   0.759,99.968
   0.767,99.971
   0.767,99.973
   0.775,99.976
   0.775,99.977
   0.775,99.978
   0.783,99.979
   0.791,99.980
   0.799,99.982
   0.799,99.983
   0.815,99.984
   0.815,99.985
   0.839,99.987
   0.855,99.988
   0.903,99.988
   0.927,99.989
   1.047,99.990
