Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,8531,0.000116,9128170,0,0.000000,0,0,0,0,0.000000
1,11935,0.000083,12770450,0,0.000000,0,0,0,0,0.000000
2,13558,0.000073,14507060,0,0.000000,0,0,0,0,0.000000
3,13015,0.000076,13926050,0,0.000000,0,0,0,0,0.000000
4,12295,0.000080,13155650,0,0.000000,0,0,0,0,0.000000
5,11658,0.000085,12474060,0,0.000000,0,0,0,0,0.000000
6,12241,0.000081,13097870,0,0.000000,0,0,0,0,0.000000
7,12590,0.000078,13471300,0,0.000000,0,0,0,0,0.000000
8,13519,0.000073,14465330,0,0.000000,0,0,0,0,0.000000
9,12984,0.000076,13892880,0,0.000000,0,0,0,0,0.000000
10,13587,0.000073,14538090,0,0.000000,0,0,0,0,0.000000
11,13398,0.000074,14335860,0,0.000000,0,0,0,0,0.000000
12,12092,0.000082,12938440,0,0.000000,0,0,0,0,0.000000
13,12061,0.000082,12905270,0,0.000000,0,0,0,0,0.000000
14,12504,0.000079,13379280,0,0.000000,0,0,0,0,0.000000
15,12854,0.000077,13753780,0,0.000000,0,0,0,0,0.000000
16,12353,0.000080,13217710,0,0.000000,0,0,0,0,0.000000
17,12843,0.000077,13742010,0,0.000000,0,0,0,0,0.000000
18,12859,0.000077,13759130,0,0.000000,0,0,0,0,0.000000
19,13139,0.000075,14058730,0,0.000000,0,0,0,0,0.000000
20,12562,0.000078,13441340,0,0.000000,0,0,0,0,0.000000
21,12835,0.000077,13733450,0,0.000000,0,0,0,0,0.000000
22,12140,0.000081,12989800,0,0.000000,0,0,0,0,0.000000
23,12989,0.000076,13898230,0,0.000000,0,0,0,0,0.000000
24,12615,0.000078,13498050,0,0.000000,0,0,0,0,0.000000
25,11746,0.000084,12568220,0,0.000000,0,0,0,0,0.000000
26,11880,0.000083,12711600,0,0.000000,0,0,0,0,0.000000
27,12161,0.000081,13012270,0,0.000000,0,0,0,0,0.000000
28,13043,0.000076,13956010,0,0.000000,0,0,0,0,0.000000
29,12703,0.000078,13592210,0,0.000000,0,0,0,0,0.000000
30,14245,0.000069,15242150,0,0.000000,0,0,0,0,0.000000
31,1,0.000053,1070,0,0.000000,0,0,0,0,0.000000

Full-Test GET Latency
Latency (<= msec),Percent
   0.000,100.000

Full-Test SET Latency
Latency (<= msec),Percent
   0.039,0.000
   0.047,5.000
   0.047,10.000
   0.047,15.000
   0.055,20.000
   0.055,25.000
   0.055,30.000
   0.055,35.000
   0.055,40.000
   0.063,45.000
   0.063,50.000
   0.063,52.500
   0.063,55.000
   0.063,57.500
   0.063,60.000
   0.063,62.500
   0.063,65.000
   0.063,67.500
   0.063,70.000
   0.063,72.500
   0.063,75.000
   0.063,76.250
   0.071,77.500
   0.071,78.750
   0.071,80.000
   0.071,81.250
   0.071,82.500
   0.071,83.750
   0.071,85.000
   0.071,86.250
   0.071,87.500
   0.071,88.125
   0.079,88.750
   0.079,89.375
   0.079,90.000
   0.079,90.625
   0.079,91.250
   0.079,91.875
   0.079,92.500
   0.079,93.125
   0.087,93.750
   0.087,94.062
   0.087,94.375
   0.087,94.688
   0.087,95.000
   0.095,95.312
   0.095,95.625
   0.103,95.938
   0.127,96.250
   0.591,96.562
   0.607,96.875
   0.615,97.031
   0.615,97.188
   0.623,97.344
   0.631,97.500
   0.631,97.656
   0.639,97.812
   0.639,97.969
   0.647,98.125
   0.647,98.281
   0.655,98.438
   0.655,98.516
   0.655,98.594
   0.663,98.672
   0.663,98.750
   0.663,98.828
   0.671,98.906
   0.671,98.984
   0.671,99.062
   0.679,99.141
   0.679,99.219
   0.679,99.258
   0.679,99.297
   0.679,99.336
   0.687,99.375
   0.687,99.414
   0.687,99.453
   0.687,99.492
   0.695,99.531
   0.695,99.570
   0.695,99.609
   0.695,99.629
   0.703,99.648
   0.703,99.668
   0.703,99.688
   0.703,99.707
   0.711,99.727
   0.711,99.746
   0.711,99.766
   0.711,99.785
   0.719,99.805
   0.719,99.814
   0.719,99.824
   0.727,99.834
   0.727,99.844
   0.727,99.854
   0.735,99.863
   0.735,99.873
   0.743,99.883
   0.751,99.893
   0.759,99.902
   0.807,99.907
   0.847,99.912
   1.087,99.917
   1.159,99.922
   1.167,99.927
   1.183,99.932
   1.199,99.937
   1.223,99.941
   1.231,99.946
   1.247,99.951
   1.255,99.954
   1.255,99.956
   1.263,99.958
   1.263,99.961
   1.271,99.963
   1.279,99.966
   1.279,99.968
   1.287,99.971
   1.295,99.973
   1.295,99.976
   1.303,99.977
   1.303,99.978
   1.311,99.979
   1.311,99.980
   1.319,99.982
   1.319,99.983
   1.327,99.984
   1.335,99.985
   1.335,99.987
   1.343,99.988
   1.343,99.988
   1.343,99.989
   1.351,99.990
   1.367,99.990
   1.367,99.991
   1.375,99.991
   1.375,99.992
   1.383,99.993
   1.383,99.993
   1.391,99.994
   1.399,99.994
   1.399,99.995
   1.399,99.995
   1.399,99.995
   1.399,99.995
   1.399,99.996
   1.415,99.996
   1.415,99.996
   1.423,99.997
   1.431,99.997
   1.431,99.997
   1.431,99.997
   1.431,99.997
   1.431,99.998
   1.431,99.998
   1.431,99.998
   1.439,99.998
   1.439,99.998
   1.439,99.998
   1.455,99.998
   1.455,99.999
   1.455,99.999
   1.455,99.999
   1.479,99.999
   1.479,99.999
   1.479,99.999
   1.487,99.999
   1.487,99.999
   1.487,99.999
   1.583,99.999
   1.583,99.999
   1.583,99.999
   1.583,99.999
   1.583,99.999
   1.583,99.999
   1.583,99.999
   1.599,100.000
   1.599,100.000
   1.599,100.000
   1.599,100.000
   1.599,100.000
   1.599,100.000
   1.599,100.000
   1.599,100.000
   1.599,100.000
   1.599,100.000
   1.783,100.000
   1.783,100.000

Full-Test WAIT Latency
Latency (<= msec),Percent
   0.000,100.000
