Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,0,0.000000,0,16525,0.000060,569215,0,16525,0,0.000000
1,0,0.000000,0,16615,0.000059,572354,0,16615,0,0.000000
2,0,0.000000,0,16483,0.000060,567809,0,16483,0,0.000000
3,0,0.000000,0,16242,0.000061,559360,0,16242,0,0.000000
4,0,0.000000,0,16346,0.000060,563006,0,16346,0,0.000000
5,0,0.000000,0,16301,0.000060,561498,0,16301,0,0.000000
6,0,0.000000,0,16183,0.000061,557330,0,16183,0,0.000000
7,0,0.000000,0,16190,0.000061,557716,0,16190,0,0.000000
8,0,0.000000,0,16220,0.000061,558482,0,16220,0,0.000000
9,0,0.000000,0,16083,0.000061,553986,0,16083,0,0.000000
10,0,0.000000,0,16270,0.000061,560290,0,16270,0,0.000000
11,0,0.000000,0,16131,0.000061,555707,0,16131,0,0.000000
12,0,0.000000,0,16122,0.000061,555435,0,16122,0,0.000000
13,0,0.000000,0,16305,0.000060,561586,0,16305,0,0.000000
14,0,0.000000,0,16182,0.000061,557208,0,16182,0,0.000000
15,0,0.000000,0,16206,0.000061,558288,0,16206,0,0.000000
16,0,0.000000,0,16304,0.000060,561564,0,16304,0,0.000000
17,0,0.000000,0,16472,0.000060,567362,0,16472,0,0.000000
18,0,0.000000,0,16217,0.000061,558614,0,16217,0,0.000000
19,0,0.000000,0,16174,0.000061,557185,0,16174,0,0.000000
20,0,0.000000,0,16325,0.000060,562208,0,16325,0,0.000000
21,0,0.000000,0,16410,0.000060,565226,0,16410,0,0.000000
22,0,0.000000,0,16403,0.000060,564910,0,16403,0,0.000000
23,0,0.000000,0,16111,0.000061,554990,0,16111,0,0.000000
24,0,0.000000,0,16041,0.000061,552495,0,16041,0,0.000000
25,0,0.000000,0,16169,0.000061,556927,0,16169,0,0.000000
26,0,0.000000,0,16079,0.000061,553803,0,16079,0,0.000000
27,0,0.000000,0,16103,0.000061,554684,0,16103,0,0.000000
28,0,0.000000,0,16045,0.000061,552640,0,16045,0,0.000000
29,0,0.000000,0,16223,0.000061,558745,0,16223,0,0.000000
30,0,0.000000,0,1,0.000412,35,0,1,0,0.000000

Full-Test GET Latency
Latency (<= msec),Percent
   0.031,0.000
   0.039,5.000
   0.039,10.000
   0.047,15.000
   0.047,20.000
   0.047,25.000
   0.047,30.000
   0.047,35.000
   0.055,40.000
   0.055,45.000
   0.063,50.000
   0.063,52.500
   0.071,55.000
   0.071,57.500
   0.071,60.000
   0.071,62.500
   0.079,65.000
   0.079,67.500
   0.079,70.000
   0.079,72.500
   0.079,75.000
   0.079,76.250
   0.079,77.500
   0.087,78.750
   0.087,80.000
   0.087,81.250
   0.087,82.500
   0.087,83.750
   0.087,85.000
   0.087,86.250
   0.087,87.500
   0.087,88.125
   0.087,88.750
   0.087,89.375
   0.087,90.000
   0.087,90.625
   0.087,91.250
   0.095,91.875
   0.095,92.500
   0.095,93.125
   0.095,93.750
   0.095,94.062
   0.095,94.375
   0.095,94.688
   0.095,95.000
   0.095,95.312
   0.095,95.625
   0.095,95.938
   0.095,96.250
   0.095,96.562
   0.095,96.875
   0.095,97.031
   0.095,97.188
   0.095,97.344
   0.095,97.500
   0.103,97.656
   0.103,97.812
   0.103,97.969
   0.103,98.125
   0.103,98.281
   0.103,98.438
   0.103,98.516
   0.103,98.594
   0.103,98.672
   0.103,98.750
   0.103,98.828
   0.103,98.906
   0.103,98.984
   0.103,99.062
   0.103,99.141
   0.103,99.219
   0.103,99.258
   0.103,99.297
   0.111,99.336
   0.111,99.375
   0.111,99.414
   0.111,99.453
   0.111,99.492
   0.111,99.531
   0.111,99.570
   0.111,99.609
   0.111,99.629
   0.111,99.648
   0.111,99.668
   0.111,99.688
   0.111,99.707
   0.111,99.727
   0.111,99.746
   0.111,99.766
   0.119,99.785
   0.119,99.805
   0.119,99.814
   0.119,99.824
   0.119,99.834
   0.119,99.844
   0.119,99.854
   0.119,99.863
   0.119,99.873
   0.119,99.883
   0.119,99.893
   0.127,99.902
   0.127,99.907
   0.127,99.912
   0.127,99.917
   0.127,99.922
   0.127,99.927
   0.127,99.932
   0.127,99.937
   0.127,99.941
   0.135,99.946
   0.135,99.951
   0.135,99.954
   0.135,99.956
   0.135,99.958
   0.135,99.961
   0.135,99.963
   0.135,99.966
   0.143,99.968
   0.143,99.971
   0.143,99.973
   0.143,99.976
   0.151,99.977
   0.151,99.978
   0.151,99.979
   0.151,99.980
   0.159,99.982
   0.175,99.983
   0.191,99.984
   0.231,99.985
   0.239,99.987
   0.255,99.988
   0.263,99.988
   0.271,99.989
   0.279,99.990
   0.279,99.990
   0.367,99.991
   0.399,99.991
   0.407,99.992
   0.415,99.993
   0.431,99.993
   0.447,99.994
   0.455,99.994
   0.463,99.995
   0.463,99.995
   0.463,99.995
   0.463,99.995
   0.479,99.996
   0.487,99.996
   0.583,99.996
   0.583,99.997
   0.599,99.997
   0.599,99.997
   0.599,99.997
   0.599,99.997
   0.599,99.998
   0.599,99.998
   0.599,99.998
   0.615,99.998
   0.631,99.998
   0.631,99.998
   0.631,99.998
   0.631,99.999
   0.631,99.999
   0.631,99.999
   0.647,99.999
   0.647,99.999
   0.647,99.999
   0.647,99.999
   0.647,99.999
   0.647,99.999
   0.655,99.999
   0.655,99.999
   0.655,99.999
   0.655,99.999
   0.687,99.999
   0.687,99.999
   0.687,99.999
   0.687,100.000
   0.687,100.000
   0.687,100.000
   0.695,100.000
   0.695,100.000
   0.695,100.000
   0.695,100.000
   0.695,100.000
   0.695,100.000
   0.695,100.000
   0.695,100.000
   0.695,100.000
   0.695,100.000
   1.447,100.000
   1.447,100.000

Full-Test SET Latency
Latency (<= msec),Percent
   0.000,100.000

Full-Test WAIT Latency
Latency (<= msec),Percent
   0.000,100.000
