Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,7459,0.000133,30895178,0,0.000000,0,0,0,0,0.000000
1,9047,0.000109,37472674,0,0.000000,0,0,0,0,0.000000
2,7170,0.000138,29698140,0,0.000000,0,0,0,0,0.000000
3,8416,0.000117,34859072,0,0.000000,0,0,0,0,0.000000
4,8521,0.000116,35293982,0,0.000000,0,0,0,0,0.000000
5,8619,0.000115,35699898,0,0.000000,0,0,0,0,0.000000
6,6282,0.000158,26020044,0,0.000000,0,0,0,0,0.000000
7,6253,0.000158,25899926,0,0.000000,0,0,0,0,0.000000
8,7395,0.000134,30630090,0,0.000000,0,0,0,0,0.000000
9,7977,0.000124,33040734,0,0.000000,0,0,0,0,0.000000
10,8480,0.000116,35124160,0,0.000000,0,0,0,0,0.000000
11,8861,0.000111,36702262,0,0.000000,0,0,0,0,0.000000
12,8817,0.000112,36520014,0,0.000000,0,0,0,0,0.000000
13,8512,0.000116,35256704,0,0.000000,0,0,0,0,0.000000
14,6704,0.000148,27767968,0,0.000000,0,0,0,0,0.000000
15,6429,0.000154,26628918,0,0.000000,0,0,0,0,0.000000
16,6208,0.000160,25713536,0,0.000000,0,0,0,0,0.000000
17,6294,0.000157,26069748,0,0.000000,0,0,0,0,0.000000
18,6280,0.000158,26011760,0,0.000000,0,0,0,0,0.000000
19,7341,0.000135,30406422,0,0.000000,0,0,0,0,0.000000
20,6691,0.000148,27714122,0,0.000000,0,0,0,0,0.000000
21,1,0.000076,4142,0,0.000000,0,0,0,0,0.000000

Full-Test GET Latency
Latency (<= msec),Percent
   0.000,100.000

Full-Test SET Latency
Latency (<= msec),Percent
   0.047,0.000
   0.063,5.000
   0.063,10.000
   0.063,15.000
   0.071,20.000
   0.071,25.000
   0.071,30.000
   0.071,35.000
   0.071,40.000
   0.079,45.000
   0.079,50.000
   0.079,52.500
   0.079,55.000
   0.079,57.500
   0.079,60.000
   0.079,62.500
   0.079,65.000
   0.087,67.500
   0.087,70.000
   0.087,72.500
   0.087,75.000
   0.087,76.250
   0.087,77.500
   0.087,78.750
   0.087,80.000
   0.087,81.250
   0.087,82.500
   0.095,83.750
   0.095,85.000
   0.095,86.250
   0.095,87.500
   0.095,88.125
   0.095,88.750
   0.103,89.375
   0.103,90.000
   0.103,90.625
   0.103,91.250
   0.111,91.875
   0.119,92.500
   0.567,93.125
   0.599,93.750
   0.615,94.062
   0.631,94.375
   0.647,94.688
   0.663,95.000
   0.687,95.312
   0.711,95.625
   0.727,95.938
   0.751,96.250
   0.831,96.562
   0.975,96.875
   1.071,97.031
   1.127,97.188
   1.143,97.344
   1.151,97.500
   1.159,97.656
   1.167,97.812
   1.175,97.969
   1.175,98.125
   1.183,98.281
   1.191,98.438
   1.191,98.516
   1.199,98.594
   1.199,98.672
   1.207,98.750
   1.207,98.828
   1.215,98.906
   1.215,98.984
   1.215,99.062
   1.223,99.141
   1.223,99.219
   1.231,99.258
   1.231,99.297
   1.231,99.336
   1.239,99.375
   1.239,99.414
   1.239,99.453
   1.239,99.492
   1.247,99.531
   1.247,99.570
   1.255,99.609
   1.255,99.629
   1.255,99.648
   1.255,99.668
   1.263,99.688
   1.263,99.707
   1.263,99.727
   1.271,99.746
   1.271,99.766
   1.271,99.785
   1.279,99.805
   1.279,99.814
   1.279,99.824
   1.287,99.834
   1.287,99.844
   1.287,99.854
   1.295,99.863
   1.295,99.873
   1.295,99.883
   1.303,99.893
   1.303,99.902
   1.311,99.907
   1.311,99.912
   1.311,99.917
   1.311,99.922
   1.319,99.927
   1.319,99.932
   1.319,99.937
   1.327,99.941
   1.327,99.946
   1.327,99.951
   1.335,99.954
   1.335,99.956
   1.343,99.958
   1.351,99.961
   1.351,99.963
   1.351,99.966
   1.359,99.968
   1.359,99.971
   1.359,99.973
   1.375,99.976
   1.375,99.977
   1.375,99.978
   1.383,99.979
   1.391,99.980
   1.399,99.982
   1.415,99.983
   1.415,99.984
   1.431,99.985
   1.439,99.987
   1.447,99.988
   1.447,99.988
   1.455,99.989
   1.455,99.990
   1.471,99.990
   1.471,99.991
   1.471,99.991
   1.471,99.992
   1.479,99.993
   1.503,99.993
   1.503,99.994
   1.503,99.994
   1.535,99.995
   1.535,99.995
   1.535,99.995
   1.535,99.995
   1.543,99.996
   1.543,99.996
   1.895,99.996
   1.895,99.997
   2.175,99.997
   2.175,99.997
   2.175,99.997
   2.175,99.997
   2.703,99.998
   2.703,99.998
   2.703,99.998
   2.703,99.998
   3.183,99.998
   3.183,99.998
   3.183,99.998
   3.183,99.999
   3.183,99.999
   3.183,99.999
   4.543,99.999
   4.543,99.999
   4.543,99.999
   4.543,99.999
   4.543,99.999
   4.543,99.999
   4.543,99.999
   4.543,99.999
   4.543,99.999
   4.543,99.999
   5.055,99.999
   5.055,100.000

Full-Test WAIT Latency
Latency (<= msec),Percent
   0.000,100.000
