Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,0,0.000000,0,8521,0.000117,293508,0,8521,0,0.000000
1,0,0.000000,0,9011,0.000110,310310,0,9011,0,0.000000
2,0,0.000000,0,9286,0.000107,319816,0,9286,0,0.000000
3,0,0.000000,0,9209,0.000108,317145,0,9209,0,0.000000
4,0,0.000000,0,8852,0.000112,304904,0,8852,0,0.000000
5,0,0.000000,0,9709,0.000102,334403,0,9709,0,0.000000
6,0,0.000000,0,9853,0.000101,339395,0,9853,0,0.000000
7,0,0.000000,0,9895,0.000100,340797,0,9895,0,0.000000
8,0,0.000000,0,9602,0.000103,330745,0,9602,0,0.000000
9,0,0.000000,0,9756,0.000102,336035,0,9756,0,0.000000
10,0,0.000000,0,9641,0.000103,332078,0,9641,0,0.000000
11,0,0.000000,0,9743,0.000102,335534,0,9743,0,0.000000
12,0,0.000000,0,9792,0.000101,337196,0,9792,0,0.000000
13,0,0.000000,0,9724,0.000102,334923,0,9724,0,0.000000
14,0,0.000000,0,9652,0.000103,332514,0,9652,0,0.000000
15,0,0.000000,0,9615,0.000103,331296,0,9615,0,0.000000
16,0,0.000000,0,9604,0.000103,330771,0,9604,0,0.000000
17,0,0.000000,0,9504,0.000104,327332,0,9504,0,0.000000
18,0,0.000000,0,9568,0.000104,329624,0,9568,0,0.000000
19,0,0.000000,0,9714,0.000102,334639,0,9714,0,0.000000
20,0,0.000000,0,9444,0.000105,325262,0,9444,0,0.000000
21,0,0.000000,0,9860,0.000101,339617,0,9860,0,0.000000
22,0,0.000000,0,9775,0.000102,336645,0,9775,0,0.000000
23,0,0.000000,0,9923,0.000100,341841,0,9923,0,0.000000
24,0,0.000000,0,9635,0.000103,331901,0,9635,0,0.000000
25,0,0.000000,0,9495,0.000105,327049,0,9495,0,0.000000
26,0,0.000000,0,9630,0.000103,331660,0,9630,0,0.000000
27,0,0.000000,0,9706,0.000102,334324,0,9706,0,0.000000
28,0,0.000000,0,9571,0.000104,329601,0,9571,0,0.000000
29,0,0.000000,0,9695,0.000102,333917,0,9695,0,0.000000
30,0,0.000000,0,1,0.000076,34,0,1,0,0.000000

Full-Test GET Latency
Latency (<= msec),Percent
   0.031,0.000
   0.047,5.000
   0.055,10.000
   0.063,15.000
   0.063,20.000
   0.071,25.000
   0.071,30.000
   0.079,35.000
   0.079,40.000
   0.079,45.000
   0.079,50.000
   0.079,52.500
   0.087,55.000
   0.087,57.500
   0.087,60.000
   0.087,62.500
   0.087,65.000
   0.087,67.500
   0.087,70.000
   0.087,72.500
   0.087,75.000
   0.095,76.250
   0.095,77.500
   0.095,78.750
   0.095,80.000
   0.095,81.250
   0.095,82.500
   0.095,83.750
   0.095,85.000
   0.095,86.250
   0.095,87.500
   0.095,88.125
   0.103,88.750
   0.103,89.375
   0.103,90.000
   0.103,90.625
   0.103,91.250
   0.103,91.875
   0.103,92.500
   0.103,93.125
   0.111,93.750
   0.111,94.062
   0.111,94.375
   0.111,94.688
   0.119,95.000
   0.127,95.312
   0.143,95.625
   0.583,95.938
   0.599,96.250
   0.615,96.562
   0.631,96.875
   0.639,97.031
   0.639,97.188
   0.647,97.344
   0.655,97.500
   0.663,97.656
   0.663,97.812
   0.671,97.969
   0.679,98.125
   0.687,98.281
   0.695,98.438
   0.695,98.516
   0.703,98.594
   0.711,98.672
   0.719,98.750
   0.719,98.828
   0.735,98.906
   0.743,98.984
   0.759,99.062
   0.775,99.141
   0.815,99.219
   0.863,99.258
   0.927,99.297
   0.967,99.336
   0.999,99.375
   1.015,99.414
   1.039,99.453
   1.055,99.492
   1.071,99.531
   1.095,99.570
   1.111,99.609
   1.127,99.629
   1.135,99.648
   1.143,99.668
   1.159,99.688
   1.175,99.707
   1.183,99.727
   1.199,99.746
   1.215,99.766
   1.231,99.785
   1.247,99.805
   1.263,99.814
   1.279,99.824
   1.287,99.834
   1.303,99.844
   1.311,99.854
   1.327,99.863
   1.351,99.873
   1.367,99.883
   1.391,99.893
   1.415,99.902
   1.423,99.907
   1.431,99.912
   1.455,99.917
   1.471,99.922
   1.487,99.927
   1.495,99.932
   1.511,99.937
   1.535,99.941
   1.551,99.946
   1.559,99.951
   1.575,99.954
   1.575,99.956
   1.583,99.958
   1.599,99.961
   1.607,99.963
   1.615,99.966
   1.623,99.968
   1.639,99.971
   1.647,99.973
   1.655,99.976
   1.663,99.977
   1.663,99.978
   1.671,99.979
   1.679,99.980
   1.687,99.982
   1.687,99.983
   1.703,99.984
   1.703,99.985
   1.711,99.987
   1.727,99.988
   1.735,99.988
   1.751,99.989
   1.783,99.990
