Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,0,0.000000,0,3255,0.000306,112158,0,3255,0,0.000000
1,0,0.000000,0,2966,0.000336,102162,0,2966,0,0.000000
2,0,0.000000,0,3014,0.000331,103847,0,3014,0,0.000000
3,0,0.000000,0,2877,0.000346,99098,0,2877,0,0.000000
4,0,0.000000,0,2952,0.000337,101653,0,2952,0,0.000000
5,0,0.000000,0,2978,0.000335,102559,0,2978,0,0.000000
6,0,0.000000,0,2964,0.000336,102165,0,2964,0,0.000000
7,0,0.000000,0,3158,0.000316,108806,0,3158,0,0.000000
8,0,0.000000,0,3069,0.000324,105751,0,3069,0,0.000000
9,0,0.000000,0,3011,0.000331,103723,0,3011,0,0.000000
10,0,0.000000,0,2937,0.000339,101116,0,2937,0,0.000000
11,0,0.000000,0,2937,0.000339,101212,0,2937,0,0.000000
12,0,0.000000,0,2982,0.000334,102695,0,2982,0,0.000000
13,0,0.000000,0,3005,0.000332,103487,0,3005,0,0.000000
14,0,0.000000,0,3285,0.000303,113166,0,3285,0,0.000000
15,0,0.000000,0,1,0.000247,33,0,1,0,0.000000

Full-Test GET Latency
Latency (<= msec),Percent
   0.047,0.000
   0.079,5.000
   0.095,10.000
   0.095,15.000
   0.103,20.000
   0.111,25.000
   0.119,30.000
   0.127,35.000
   0.127,40.000
   0.135,45.000
   0.143,50.000
   0.143,52.500
   0.143,55.000
   0.151,57.500
   0.151,60.000
   0.151,62.500
   0.151,65.000
   0.159,67.500
   0.159,70.000
   0.167,72.500
   0.167,75.000
   0.175,76.250
   0.175,77.500
   0.183,78.750
   0.183,80.000
   0.199,81.250
   0.303,82.500
   1.127,83.750
   1.175,85.000
   1.207,86.250
   1.231,87.500
   1.247,88.125
   1.255,88.750
   1.263,89.375
   1.271,90.000
   1.287,90.625
   1.295,91.250
   1.303,91.875
   1.311,92.500
   1.319,93.125
   1.327,93.750
   1.335,94.062
   1.343,94.375
   1.343,94.688
   1.351,95.000
   1.359,95.312
   1.359,95.625
   1.367,95.938
   1.375,96.250
   1.383,96.562
   1.391,96.875
   1.391,97.031
   1.399,97.188
   1.407,97.344
   1.407,97.500
   1.415,97.656
   1.423,97.812
   1.423,97.969
   1.431,98.125
   1.439,98.281
   1.455,98.438
   1.463,98.516
   1.463,98.594
   1.471,98.672
   1.479,98.750
   1.487,98.828
   1.495,98.906
   1.503,98.984
   1.519,99.062
   1.527,99.141
   1.535,99.219
   1.551,99.258
   1.551,99.297
   1.559,99.336
   1.575,99.375
   1.575,99.414
   1.583,99.453
   1.591,99.492
   1.599,99.531
   1.607,99.570
   1.615,99.609
   1.615,99.629
   1.623,99.648
   1.631,99.668
   1.631,99.688
   1.647,99.707
   1.647,99.727
   1.655,99.746
   1.655,99.766
   1.663,99.785
   1.671,99.805
   1.679,99.814
   1.687,99.824
   1.687,99.834
   1.703,99.844
   1.703,99.854
   1.703,99.863
   1.719,99.873
   1.727,99.883
   1.727,99.893
   1.759,99.902
   1.759,99.907
   1.767,99.912
   1.767,99.917
   1.783,99.922
   1.799,99.927
   1.799,99.932
   1.823,99.937
   1.831,99.941
   1.847,99.946
   1.879,99.951
   1.903,99.954
   1.999,99.956
   2.007,99.958
   2.039,99.961
   2.063,99.963
   2.111,99.966
   2.191,99.968
   2.207,99.971
   2.207,99.973
   2.255,99.976
   2.319,99.977
   2.431,99.978
   2.431,99.979
   3.343,99.980
   3.343,99.982
   3.663,99.983
   3.663,99.984
   3.679,99.985
   3.679,99.987
   3.711,99.988
   3.711,99.988
   4.015,99.989
   4.015,99.990
   4.015,99.990
   4.015,99.991
   4.127,99.991
   4.127,99.992
   4.127,99.993
   4.127,99.993
   4.511,99.994
   4.511,99.994
   4.511,99.995
   4.511,99.995
   4.511,99.995
   4.511,99.995
   5.855,99.996
   5.855,99.996
   5.855,99.996
   5.855,99.997
   5.855,99.997
   5.855,99.997
   5.855,99.997
   5.855,99.997
   5.855,99.998
   5.855,99.998
   7.391,99.998
   7.391,100.000

Full-Test SET Latency
Latency (<= msec),Percent
   0.000,100.000

Full-Test WAIT Latency
Latency (<= msec),Percent
   0.000,100.000
