Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,3610,0.000275,14949010,0,0.000000,0,0,0,0,0.000000
1,3758,0.000264,15561878,0,0.000000,0,0,0,0,0.000000
2,3447,0.000288,14274027,0,0.000000,0,0,0,0,0.000000
3,3391,0.000293,14042131,0,0.000000,0,0,0,0,0.000000
4,2867,0.000346,11872247,0,0.000000,0,0,0,0,0.000000
5,2907,0.000341,12037887,0,0.000000,0,0,0,0,0.000000
6,3090,0.000321,12795690,0,0.000000,0,0,0,0,0.000000
7,2813,0.000353,11648633,0,0.000000,0,0,0,0,0.000000
8,2907,0.000341,12037887,0,0.000000,0,0,0,0,0.000000
9,3229,0.000307,13371289,0,0.000000,0,0,0,0,0.000000
10,3460,0.000288,14327860,0,0.000000,0,0,0,0,0.000000
11,3706,0.000268,15346546,0,0.000000,0,0,0,0,0.000000
12,3864,0.000258,16000824,0,0.000000,0,0,0,0,0.000000
13,3902,0.000255,16158182,0,0.000000,0,0,0,0,0.000000
14,3880,0.000256,16067080,0,0.000000,0,0,0,0,0.000000
15,3869,0.000257,16021529,0,0.000000,0,0,0,0,0.000000
16,3926,0.000253,16257566,0,0.000000,0,0,0,0,0.000000
17,4101,0.000243,16982241,0,0.000000,0,0,0,0,0.000000
18,3871,0.000257,16029811,0,0.000000,0,0,0,0,0.000000
19,3904,0.000255,16166464,0,0.000000,0,0,0,0,0.000000
20,3895,0.000255,16129195,0,0.000000,0,0,0,0,0.000000
21,1,0.000082,4141,0,0.000000,0,0,0,0,0.000000

Full-Test GET Latency
Latency (<= msec),Percent
   0.000,100.000

Full-Test SET Latency
Latency (<= msec),Percent
   0.047,0.000
   0.079,5.000
   0.087,10.000
   0.087,15.000
   0.087,20.000
   0.095,25.000
   0.095,30.000
   0.095,35.000
   0.103,40.000
   0.103,45.000
   0.111,50.000
   0.111,52.500
   0.119,55.000
   0.127,57.500
   0.135,60.000
   0.135,62.500
   0.143,65.000
   0.151,67.500
   0.151,70.000
   0.159,72.500
   0.159,75.000
   0.167,76.250
   0.167,77.500
   0.175,78.750
   0.183,80.000
   0.191,81.250
   0.215,82.500
   0.295,83.750
   0.375,85.000
   0.831,86.250
   1.167,87.500
   1.191,88.125
   1.207,88.750
   1.223,89.375
   1.239,90.000
   1.247,90.625
   1.255,91.250
   1.271,91.875
   1.279,92.500
   1.287,93.125
   1.295,93.750
   1.303,94.062
   1.303,94.375
   1.311,94.688
   1.319,95.000
   1.327,95.312
   1.327,95.625
   1.335,95.938
   1.343,96.250
   1.351,96.562
   1.359,96.875
   1.359,97.031
   1.367,97.188
   1.375,97.344
   1.375,97.500
   1.383,97.656
   1.391,97.812
   1.399,97.969
   1.407,98.125
   1.415,98.281
   1.423,98.438
   1.423,98.516
   1.431,98.594
   1.439,98.672
   1.439,98.750
   1.447,98.828
   1.455,98.906
   1.463,98.984
   1.471,99.062
   1.479,99.141
   1.487,99.219
   1.495,99.258
   1.503,99.297
   1.503,99.336
   1.511,99.375
   1.519,99.414
   1.527,99.453
   1.535,99.492
   1.543,99.531
   1.551,99.570
   1.559,99.609
   1.567,99.629
   1.567,99.648
   1.575,99.668
   1.575,99.688
   1.583,99.707
   1.591,99.727
   1.591,99.746
   1.599,99.766
   1.607,99.785
   1.615,99.805
   1.615,99.814
   1.623,99.824
   1.631,99.834
   1.631,99.844
   1.639,99.854
   1.647,99.863
   1.647,99.873
   1.647,99.883
   1.655,99.893
   1.663,99.902
   1.663,99.907
   1.671,99.912
   1.671,99.917
   1.679,99.922
   1.687,99.927
   1.687,99.932
   1.687,99.937
   1.695,99.941
   1.703,99.946
   1.703,99.951
   1.703,99.954
   1.719,99.956
   1.719,99.958
   1.719,99.961
   1.727,99.963
   1.735,99.966
   1.735,99.968
   1.743,99.971
   1.759,99.973
   1.759,99.976
   1.767,99.977
   1.767,99.978
   1.775,99.979
   1.783,99.980
   1.783,99.982
   1.791,99.983
   1.807,99.984
   1.823,99.985
   1.823,99.987
   1.823,99.988
   1.847,99.988
   1.847,99.989
   1.863,99.990
   1.863,99.990
   1.879,99.991
   1.879,99.991
   1.943,99.992
   1.943,99.993
   1.983,99.993
   1.983,99.994
   1.983,99.994
   1.983,99.995
   2.031,99.995
   2.031,99.995
   2.031,99.995
   2.031,99.996
   2.039,99.996
   2.039,99.996
   2.039,99.997
   2.039,99.997
   2.039,99.997
   2.039,99.997
   2.191,99.997
   2.191,99.998
   2.191,99.998
   2.191,99.998
   2.191,99.998
   2.191,99.998
   2.191,99.998
   2.191,99.998
   2.191,99.999
   2.191,99.999
   2.415,99.999
   2.415,100.000

Full-Test WAIT Latency
Latency (<= msec),Percent
   0.000,100.000
