Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,3110,0.000319,12881620,0,0.000000,0,0,0,0,0.000000
1,3963,0.000251,16414746,0,0.000000,0,0,0,0,0.000000
2,3149,0.000315,13043158,0,0.000000,0,0,0,0,0.000000
3,3081,0.000322,12761502,0,0.000000,0,0,0,0,0.000000
4,2920,0.000340,12094640,0,0.000000,0,0,0,0,0.000000
5,3289,0.000302,13623038,0,0.000000,0,0,0,0,0.000000
6,3045,0.000326,12612390,0,0.000000,0,0,0,0,0.000000
7,2985,0.000332,12363870,0,0.000000,0,0,0,0,0.000000
8,3088,0.000322,12790496,0,0.000000,0,0,0,0,0.000000
9,2916,0.000340,12078072,0,0.000000,0,0,0,0,0.000000
10,3491,0.000284,14459722,0,0.000000,0,0,0,0,0.000000
11,3258,0.000304,13494636,0,0.000000,0,0,0,0,0.000000
12,2949,0.000336,12214758,0,0.000000,0,0,0,0,0.000000
13,3296,0.000301,13652032,0,0.000000,0,0,0,0,0.000000
14,3896,0.000255,16137232,0,0.000000,0,0,0,0,0.000000
15,4129,0.000241,17102318,0,0.000000,0,0,0,0,0.000000
16,1,0.001172,4142,0,0.000000,0,0,0,0,0.000000

Full-Test GET Latency
Latency (<= msec),Percent
   0.000,100.000

Full-Test SET Latency
Latency (<= msec),Percent
   0.055,0.000
   0.079,5.000
   0.087,10.000
   0.095,15.000
   0.103,20.000
   0.111,25.000
   0.127,30.000
   0.135,35.000
   0.135,40.000
   0.143,45.000
   0.151,50.000
   0.151,52.500
   0.151,55.000
   0.159,57.500
   0.159,60.000
   0.159,62.500
   0.167,65.000
   0.167,67.500
   0.167,70.000
   0.175,72.500
   0.183,75.000
   0.191,76.250
   0.199,77.500
   0.207,78.750
   0.239,80.000
   0.279,81.250
   0.311,82.500
   0.335,83.750
   0.375,85.000
   0.719,86.250
   1.095,87.500
   1.175,88.125
   1.207,88.750
   1.231,89.375
   1.247,90.000
   1.263,90.625
   1.271,91.250
   1.287,91.875
   1.295,92.500
   1.311,93.125
   1.327,93.750
   1.335,94.062
   1.343,94.375
   1.351,94.688
   1.359,95.000
   1.367,95.312
   1.375,95.625
   1.383,95.938
   1.391,96.250
   1.399,96.562
   1.407,96.875
   1.415,97.031
   1.423,97.188
   1.431,97.344
   1.431,97.500
   1.447,97.656
   1.447,97.812
   1.455,97.969
   1.463,98.125
   1.471,98.281
   1.487,98.438
   1.487,98.516
   1.495,98.594
   1.495,98.672
   1.503,98.750
   1.511,98.828
   1.511,98.906
   1.519,98.984
   1.527,99.062
   1.535,99.141
   1.543,99.219
   1.543,99.258
   1.551,99.297
   1.559,99.336
   1.559,99.375
   1.567,99.414
   1.567,99.453
   1.575,99.492
   1.583,99.531
   1.591,99.570
   1.599,99.609
   1.599,99.629
   1.607,99.648
   1.607,99.668
   1.615,99.688
   1.615,99.707
   1.623,99.727
   1.623,99.746
   1.631,99.766
   1.639,99.785
   1.639,99.805
   1.647,99.814
   1.647,99.824
   1.647,99.834
   1.655,99.844
   1.655,99.854
   1.655,99.863
   1.655,99.873
   1.663,99.883
   1.663,99.893
   1.671,99.902
   1.671,99.907
   1.679,99.912
   1.679,99.917
   1.687,99.922
   1.687,99.927
   1.695,99.932
   1.695,99.937
   1.703,99.941
   1.703,99.946
   1.711,99.951
   1.719,99.954
   1.719,99.956
   1.727,99.958
   1.727,99.961
   1.727,99.963
   1.727,99.966
   1.735,99.968
   1.743,99.971
   1.743,99.973
   1.759,99.976
   1.759,99.977
   1.767,99.978
   1.767,99.979
   1.767,99.980
   1.791,99.982
   1.799,99.983
   1.799,99.984
   1.799,99.985
   1.799,99.987
   1.815,99.988
   1.815,99.988
   1.815,99.989
   1.815,99.990
   1.815,99.990
   1.823,99.991
   1.823,99.991
   1.823,99.992
   1.839,99.993
   1.839,99.993
   1.839,99.994
   1.839,99.994
   1.847,99.995
   1.847,99.995
   1.847,99.995
   1.847,99.995
   1.847,99.996
   1.847,99.996
   1.927,99.996
   1.927,99.997
   1.927,99.997
   1.927,99.997
   1.927,99.997
   1.927,99.997
   1.927,99.998
   1.927,99.998
   1.927,99.998
   1.927,99.998
   2.063,99.998
   2.063,100.000

Full-Test WAIT Latency
Latency (<= msec),Percent
   0.000,100.000
