Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,12227,0.000081,13082890,0,0.000000,0,0,0,0,0.000000
1,13345,0.000074,14279150,0,0.000000,0,0,0,0,0.000000
2,13140,0.000075,14059800,0,0.000000,0,0,0,0,0.000000
3,12654,0.000078,13539780,0,0.000000,0,0,0,0,0.000000
4,12243,0.000081,13100010,0,0.000000,0,0,0,0,0.000000
5,13220,0.000075,14145400,0,0.000000,0,0,0,0,0.000000
6,11523,0.000085,12329610,0,0.000000,0,0,0,0,0.000000
7,12430,0.000079,13300100,0,0.000000,0,0,0,0,0.000000
8,12799,0.000077,13694930,0,0.000000,0,0,0,0,0.000000
9,12825,0.000077,13722750,0,0.000000,0,0,0,0,0.000000
10,12682,0.000078,13569740,0,0.000000,0,0,0,0,0.000000
11,11386,0.000087,12183020,0,0.000000,0,0,0,0,0.000000
12,11843,0.000083,12672010,0,0.000000,0,0,0,0,0.000000
13,12093,0.000082,12939510,0,0.000000,0,0,0,0,0.000000
14,12862,0.000077,13762340,0,0.000000,0,0,0,0,0.000000
15,12717,0.000078,13607190,0,0.000000,0,0,0,0,0.000000
16,13094,0.000075,14010580,0,0.000000,0,0,0,0,0.000000
17,12245,0.000081,13102150,0,0.000000,0,0,0,0,0.000000
18,12315,0.000080,13177050,0,0.000000,0,0,0,0,0.000000
19,12173,0.000081,13025110,0,0.000000,0,0,0,0,0.000000
20,12768,0.000077,13661760,0,0.000000,0,0,0,0,0.000000
21,13481,0.000073,14424670,0,0.000000,0,0,0,0,0.000000
22,14026,0.000070,15007820,0,0.000000,0,0,0,0,0.000000
23,14425,0.000068,15434750,0,0.000000,0,0,0,0,0.000000
24,14609,0.000068,15631630,0,0.000000,0,0,0,0,0.000000
25,12857,0.000077,13756990,0,0.000000,0,0,0,0,0.000000
26,12645,0.000078,13530150,0,0.000000,0,0,0,0,0.000000
27,12063,0.000082,12907410,0,0.000000,0,0,0,0,0.000000
28,12480,0.000079,13353600,0,0.000000,0,0,0,0,0.000000
29,13256,0.000074,14183920,0,0.000000,0,0,0,0,0.000000
30,12635,0.000078,13519450,0,0.000000,0,0,0,0,0.000000
31,1,0.000629,1070,0,0.000000,0,0,0,0,0.000000

Full-Test GET Latency
Latency (<= msec),Percent
   0.000,100.000

Full-Test SET Latency
Latency (<= msec),Percent
   0.039,0.000
   0.047,5.000
   0.047,10.000
   0.047,15.000
   0.047,20.000
   0.055,25.000
   0.055,30.000
   0.055,35.000
   0.055,40.000
   0.055,45.000
   0.063,50.000
   0.063,52.500
   0.063,55.000
   0.063,57.500
   0.063,60.000
   0.063,62.500
   0.063,65.000
   0.063,67.500
   0.063,70.000
   0.063,72.500
   0.063,75.000
   0.063,76.250
   0.063,77.500
   0.063,78.750
   0.063,80.000
   0.071,81.250
   0.071,82.500
   0.071,83.750
   0.071,85.000
   0.071,86.250
   0.071,87.500
   0.071,88.125
   0.071,88.750
   0.071,89.375
   0.071,90.000
   0.071,90.625
   0.079,91.250
   0.079,91.875
   0.079,92.500
   0.079,93.125
   0.079,93.750
   0.079,94.062
   0.079,94.375
   0.087,94.688
   0.087,95.000
   0.087,95.312
   0.087,95.625
   0.095,95.938
   0.111,96.250
   0.575,96.562
   0.599,96.875
   0.607,97.031
   0.615,97.188
   0.623,97.344
   0.631,97.500
   0.631,97.656
   0.639,97.812
   0.647,97.969
   0.655,98.125
   0.655,98.281
   0.663,98.438
   0.671,98.516
   0.671,98.594
   0.679,98.672
   0.679,98.750
   0.687,98.828
   0.687,98.906
   0.695,98.984
   0.695,99.062
   0.703,99.141
   0.711,99.219
   0.711,99.258
   0.719,99.297
   0.719,99.336
   0.727,99.375
   0.735,99.414
   0.735,99.453
   0.743,99.492
   0.751,99.531
   0.759,99.570
   0.767,99.609
   0.775,99.629
   0.775,99.648
   0.783,99.668
   0.783,99.688
   0.791,99.707
   0.799,99.727
   0.807,99.746
   0.807,99.766
   0.815,99.785
   0.823,99.805
   0.831,99.814
   0.831,99.824
   0.839,99.834
   0.847,99.844
   0.855,99.854
   0.863,99.863
   0.871,99.873
   0.879,99.883
   0.895,99.893
   0.903,99.902
   0.911,99.907
   0.919,99.912
   0.935,99.917
   0.943,99.922
   0.943,99.927
   0.959,99.932
   0.967,99.937
   0.991,99.941
   0.999,99.946
   1.023,99.951
   1.039,99.954
   1.055,99.956
   1.071,99.958
   1.103,99.961
   1.135,99.963
   1.151,99.966
   1.167,99.968
   1.183,99.971
   1.191,99.973
   1.199,99.976
   1.207,99.977
   1.207,99.978
   1.215,99.979
   1.223,99.980
   1.231,99.982
   1.231,99.983
   1.239,99.984
   1.247,99.985
   1.247,99.987
   1.263,99.988
   1.263,99.988
   1.263,99.989
   1.271,99.990
   1.279,99.990
   1.279,99.991
   1.311,99.991
   1.319,99.992
   1.327,99.993
   1.335,99.993
   1.343,99.994
   1.351,99.994
   1.359,99.995
   1.359,99.995
   1.367,99.995
   1.383,99.995
   1.391,99.996
   1.399,99.996
   1.399,99.996
   1.399,99.997
   1.415,99.997
   1.415,99.997
   1.415,99.997
   1.415,99.997
   1.431,99.998
   1.431,99.998
   1.455,99.998
   1.471,99.998
   1.471,99.998
   1.495,99.998
   1.495,99.998
   1.511,99.999
   1.511,99.999
   1.511,99.999
   1.527,99.999
   1.527,99.999
   1.527,99.999
   1.615,99.999
   1.615,99.999
   1.615,99.999
   1.615,99.999
   1.623,99.999
   1.623,99.999
   1.623,99.999
   1.623,99.999
   1.623,99.999
   1.623,99.999
   1.631,100.000
   1.631,100.000
   1.631,100.000
   1.631,100.000
   1.631,100.000
   1.631,100.000
   1.631,100.000
   1.631,100.000
   1.631,100.000
   1.631,100.000
   2.143,100.000
   2.143,100.000

Full-Test WAIT Latency
Latency (<= msec),Percent
   0.000,100.000
