Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,11418,0.000086,12217260,0,0.000000,0,0,0,0,0.000000
1,12927,0.000076,13831890,0,0.000000,0,0,0,0,0.000000
2,13249,0.000075,14176430,0,0.000000,0,0,0,0,0.000000
3,11940,0.000083,12775800,0,0.000000,0,0,0,0,0.000000
4,12518,0.000079,13394260,0,0.000000,0,0,0,0,0.000000
5,12210,0.000081,13064700,0,0.000000,0,0,0,0,0.000000
6,12032,0.000082,12874240,0,0.000000,0,0,0,0,0.000000
7,12388,0.000080,13255160,0,0.000000,0,0,0,0,0.000000
8,12474,0.000079,13347180,0,0.000000,0,0,0,0,0.000000
9,11183,0.000088,11965810,0,0.000000,0,0,0,0,0.000000
10,12684,0.000078,13571880,0,0.000000,0,0,0,0,0.000000
11,11627,0.000085,12440890,0,0.000000,0,0,0,0,0.000000
12,13195,0.000075,14118650,0,0.000000,0,0,0,0,0.000000
13,14229,0.000069,15225030,0,0.000000,0,0,0,0,0.000000
14,12928,0.000076,13832960,0,0.000000,0,0,0,0,0.000000
15,12866,0.000077,13766620,0,0.000000,0,0,0,0,0.000000
16,12905,0.000076,13808350,0,0.000000,0,0,0,0,0.000000
17,12249,0.000081,13106430,0,0.000000,0,0,0,0,0.000000
18,12591,0.000078,13472370,0,0.000000,0,0,0,0,0.000000
19,11757,0.000084,12579990,0,0.000000,0,0,0,0,0.000000
20,13713,0.000072,14672910,0,0.000000,0,0,0,0,0.000000
21,13418,0.000074,14357260,0,0.000000,0,0,0,0,0.000000
22,12682,0.000078,13569740,0,0.000000,0,0,0,0,0.000000
23,13250,0.000074,14177500,0,0.000000,0,0,0,0,0.000000
24,13097,0.000075,14013790,0,0.000000,0,0,0,0,0.000000
25,13125,0.000075,14043750,0,0.000000,0,0,0,0,0.000000
26,12740,0.000077,13631800,0,0.000000,0,0,0,0,0.000000
27,13998,0.000071,14977860,0,0.000000,0,0,0,0,0.000000
28,13313,0.000074,14244910,0,0.000000,0,0,0,0,0.000000
29,12446,0.000079,13317220,0,0.000000,0,0,0,0,0.000000
30,12225,0.000081,13080750,0,0.000000,0,0,0,0,0.000000
31,1,0.000043,1070,0,0.000000,0,0,0,0,0.000000

Full-Test GET Latency
Latency (<= msec),Percent
   0.000,100.000

Full-Test SET Latency
Latency (<= msec),Percent
   0.039,0.000
   0.047,5.000
   0.047,10.000
   0.047,15.000
   0.047,20.000
   0.055,25.000
   0.055,30.000
   0.055,35.000
   0.055,40.000
   0.055,45.000
   0.063,50.000
   0.063,52.500
   0.063,55.000
   0.063,57.500
   0.063,60.000
   0.063,62.500
   0.063,65.000
   0.063,67.500
   0.063,70.000
   0.063,72.500
   0.063,75.000
   0.063,76.250
   0.063,77.500
   0.063,78.750
   0.071,80.000
   0.071,81.250
   0.071,82.500
   0.071,83.750
   0.071,85.000
   0.071,86.250
   0.071,87.500
   0.071,88.125
   0.071,88.750
   0.071,89.375
   0.071,90.000
   0.071,90.625
   0.079,91.250
   0.079,91.875
   0.079,92.500
   0.079,93.125
   0.079,93.750
   0.079,94.062
   0.079,94.375
   0.087,94.688
   0.087,95.000
   0.087,95.312
   0.087,95.625
   0.095,95.938
   0.111,96.250
   0.575,96.562
   0.599,96.875
   0.607,97.031
   0.615,97.188
   0.623,97.344
   0.631,97.500
   0.639,97.656
   0.639,97.812
   0.647,97.969
   0.655,98.125
   0.655,98.281
   0.663,98.438
   0.671,98.516
   0.671,98.594
   0.679,98.672
   0.679,98.750
   0.687,98.828
   0.687,98.906
   0.695,98.984
   0.703,99.062
   0.703,99.141
   0.711,99.219
   0.719,99.258
   0.719,99.297
   0.727,99.336
   0.727,99.375
   0.735,99.414
   0.743,99.453
   0.751,99.492
   0.759,99.531
   0.767,99.570
   0.767,99.609
   0.775,99.629
   0.783,99.648
   0.783,99.668
   0.791,99.688
   0.791,99.707
   0.799,99.727
   0.807,99.746
   0.815,99.766
   0.823,99.785
   0.823,99.805
   0.831,99.814
   0.839,99.824
   0.839,99.834
   0.847,99.844
   0.855,99.854
   0.863,99.863
   0.871,99.873
   0.879,99.883
   0.895,99.893
   0.911,99.902
   0.919,99.907
   0.919,99.912
   0.927,99.917
   0.935,99.922
   0.951,99.927
   0.967,99.932
   0.975,99.937
   0.991,99.941
   1.007,99.946
   1.023,99.951
   1.039,99.954
   1.047,99.956
   1.087,99.958
   1.119,99.961
   1.127,99.963
   1.151,99.966
   1.167,99.968
   1.183,99.971
   1.191,99.973
   1.199,99.976
   1.207,99.977
   1.207,99.978
   1.215,99.979
   1.223,99.980
   1.231,99.982
   1.239,99.983
   1.247,99.984
   1.247,99.985
   1.255,99.987
   1.271,99.988
   1.279,99.988
   1.279,99.989
   1.287,99.990
   1.295,99.990
   1.303,99.991
   1.311,99.991
   1.311,99.992
   1.319,99.993
   1.327,99.993
   1.343,99.994
   1.367,99.994
   1.367,99.995
   1.375,99.995
   1.375,99.995
   1.375,99.995
   1.383,99.996
   1.383,99.996
   1.407,99.996
   1.415,99.997
   1.431,99.997
   1.455,99.997
   1.463,99.997
   1.463,99.997
   1.495,99.998
   1.495,99.998
   1.511,99.998
   1.511,99.998
   1.511,99.998
   1.511,99.998
   1.511,99.998
   1.519,99.999
   1.519,99.999
   1.519,99.999
   1.599,99.999
   1.599,99.999
   1.599,99.999
   1.607,99.999
   1.607,99.999
   1.607,99.999
   1.607,99.999
   1.607,99.999
   1.607,99.999
   1.607,99.999
   1.607,99.999
   1.607,99.999
   1.607,99.999
   1.623,100.000
   1.623,100.000

Full-Test WAIT Latency
Latency (<= msec),Percent
   0.000,100.000
