Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,0,0.000000,0,9106,0.000109,313585,0,9106,0,0.000000
1,0,0.000000,0,9277,0.000107,319532,0,9277,0,0.000000
2,0,0.000000,0,9521,0.000104,327985,0,9521,0,0.000000
3,0,0.000000,0,9398,0.000106,323660,0,9398,0,0.000000
4,0,0.000000,0,9394,0.000106,323454,0,9394,0,0.000000
5,0,0.000000,0,9624,0.000103,331587,0,9624,0,0.000000
6,0,0.000000,0,9639,0.000103,332027,0,9639,0,0.000000
7,0,0.000000,0,9402,0.000106,323846,0,9402,0,0.000000
8,0,0.000000,0,9538,0.000104,328649,0,9538,0,0.000000
9,0,0.000000,0,9268,0.000107,319243,0,9268,0,0.000000
10,0,0.000000,0,9655,0.000103,332524,0,9655,0,0.000000
11,0,0.000000,0,9522,0.000104,328041,0,9522,0,0.000000
12,0,0.000000,0,9495,0.000105,327025,0,9495,0,0.000000
13,0,0.000000,0,9409,0.000105,324093,0,9409,0,0.000000
14,0,0.000000,0,9518,0.000104,327849,0,9518,0,0.000000
15,0,0.000000,0,9522,0.000104,327959,0,9522,0,0.000000
16,0,0.000000,0,9825,0.000101,338385,0,9825,0,0.000000
17,0,0.000000,0,9436,0.000105,324988,0,9436,0,0.000000
18,0,0.000000,0,9465,0.000105,325966,0,9465,0,0.000000
19,0,0.000000,0,9703,0.000102,334230,0,9703,0,0.000000
20,0,0.000000,0,1,0.000063,34,0,1,0,0.000000

Full-Test GET Latency
Latency (<= msec),Percent
   0.031,0.000
   0.047,5.000
   0.055,10.000
   0.063,15.000
   0.063,20.000
   0.071,25.000
   0.071,30.000
   0.079,35.000
   0.079,40.000
   0.079,45.000
   0.087,50.000
   0.087,52.500
   0.087,55.000
   0.087,57.500
   0.087,60.000
   0.087,62.500
   0.087,65.000
   0.087,67.500
   0.095,70.000
   0.095,72.500
   0.095,75.000
   0.095,76.250
   0.095,77.500
   0.095,78.750
   0.095,80.000
   0.095,81.250
   0.095,82.500
   0.095,83.750
   0.103,85.000
   0.103,86.250
   0.103,87.500
   0.103,88.125
   0.103,88.750
   0.103,89.375
   0.103,90.000
   0.103,90.625
   0.103,91.250
   0.111,91.875
   0.111,92.500
   0.111,93.125
   0.111,93.750
   0.119,94.062
   0.119,94.375
   0.127,94.688
   0.135,95.000
   0.543,95.312
   0.575,95.625
   0.591,95.938
   0.599,96.250
   0.615,96.562
   0.623,96.875
   0.631,97.031
   0.631,97.188
   0.639,97.344
   0.647,97.500
   0.647,97.656
   0.655,97.812
   0.663,97.969
   0.663,98.125
   0.671,98.281
   0.679,98.438
   0.687,98.516
   0.687,98.594
   0.695,98.672
   0.695,98.750
   0.703,98.828
   0.703,98.906
   0.711,98.984
   0.719,99.062
   0.727,99.141
   0.727,99.219
   0.735,99.258
   0.735,99.297
   0.743,99.336
   0.743,99.375
   0.751,99.414
   0.751,99.453
   0.759,99.492
   0.759,99.531
   0.767,99.570
   0.767,99.609
   0.775,99.629
   0.775,99.648
   0.783,99.668
   0.783,99.688
   0.791,99.707
   0.791,99.727
   0.799,99.746
   0.807,99.766
   0.807,99.785
   0.815,99.805
   0.823,99.814
   0.823,99.824
   0.831,99.834
   0.831,99.844
   0.839,99.854
   0.847,99.863
   0.863,99.873
   0.871,99.883
   0.879,99.893
   0.895,99.902
   0.903,99.907
   0.919,99.912
   0.935,99.917
   0.943,99.922
   0.951,99.927
   0.967,99.932
   0.975,99.937
   0.983,99.941
   1.007,99.946
   1.015,99.951
   1.023,99.954
   1.023,99.956
   1.039,99.958
   1.047,99.961
   1.071,99.963
   1.087,99.966
   1.103,99.968
   1.119,99.971
   1.143,99.973
   1.151,99.976
   1.151,99.977
   1.159,99.978
   1.167,99.979
   1.167,99.980
   1.191,99.982
   1.199,99.983
   1.199,99.984
   1.207,99.985
   1.207,99.987
   1.215,99.988
   1.215,99.988
   1.223,99.989
   1.223,99.990
   1.223,99.990
   1.231,99.991
   1.247,99.991
   1.255,99.992
   1.303,99.993
   1.327,99.993
   1.327,99.994
   1.327,99.994
   1.335,99.995
   1.335,99.995
   1.335,99.995
   1.367,99.995
   1.367,99.996
   1.383,99.996
   1.463,99.996
   1.463,99.997
   1.471,99.997
   1.471,99.997
   1.471,99.997
   1.495,99.997
   1.495,99.998
   1.495,99.998
   1.495,99.998
   1.503,99.998
   1.503,99.998
   1.503,99.998
   1.527,99.998
   1.527,99.999
   1.527,99.999
   1.527,99.999
   1.527,99.999
   1.527,99.999
   1.527,99.999
   1.559,99.999
   1.559,99.999
   1.559,99.999
   1.559,99.999
   1.559,99.999
   1.559,99.999
   1.559,99.999
   1.559,99.999
   1.559,99.999
   1.559,99.999
   1.567,100.000
   1.567,100.000

Full-Test SET Latency
Latency (<= msec),Percent
   0.000,100.000

Full-Test WAIT Latency
Latency (<= msec),Percent
   0.000,100.000
