Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,9671,0.000102,10347970,0,0.000000,0,0,0,0,0.000000
1,13365,0.000074,14300550,0,0.000000,0,0,0,0,0.000000
2,12605,0.000078,13487350,0,0.000000,0,0,0,0,0.000000
3,13025,0.000076,13936750,0,0.000000,0,0,0,0,0.000000
4,12874,0.000077,13775180,0,0.000000,0,0,0,0,0.000000
5,12334,0.000080,13197380,0,0.000000,0,0,0,0,0.000000
6,12547,0.000078,13425290,0,0.000000,0,0,0,0,0.000000
7,12652,0.000078,13537640,0,0.000000,0,0,0,0,0.000000
8,13340,0.000074,14273800,0,0.000000,0,0,0,0,0.000000
9,12315,0.000080,13177050,0,0.000000,0,0,0,0,0.000000
10,13736,0.000072,14697520,0,0.000000,0,0,0,0,0.000000
11,12985,0.000076,13893950,0,0.000000,0,0,0,0,0.000000
12,12172,0.000081,13024040,0,0.000000,0,0,0,0,0.000000
13,12783,0.000077,13677810,0,0.000000,0,0,0,0,0.000000
14,12808,0.000077,13704560,0,0.000000,0,0,0,0,0.000000
15,12705,0.000078,13594350,0,0.000000,0,0,0,0,0.000000
16,12570,0.000078,13449900,0,0.000000,0,0,0,0,0.000000
17,11234,0.000088,12020380,0,0.000000,0,0,0,0,0.000000
18,13804,0.000071,14770280,0,0.000000,0,0,0,0,0.000000
19,11937,0.000082,12772590,0,0.000000,0,0,0,0,0.000000
20,12899,0.000076,13801930,0,0.000000,0,0,0,0,0.000000
21,1,0.000060,1070,0,0.000000,0,0,0,0,0.000000

Full-Test GET Latency
Latency (<= msec),Percent
   0.000,100.000

Full-Test SET Latency
Latency (<= msec),Percent
   0.039,0.000
   0.047,5.000
   0.047,10.000
   0.047,15.000
   0.047,20.000
   0.055,25.000
   0.055,30.000
   0.055,35.000
   0.055,40.000
   0.055,45.000
   0.063,50.000
   0.063,52.500
   0.063,55.000
   0.063,57.500
   0.063,60.000
   0.063,62.500
   0.063,65.000
   0.063,67.500
   0.063,70.000
   0.063,72.500
   0.063,75.000
   0.063,76.250
   0.063,77.500
   0.063,78.750
   0.071,80.000
   0.071,81.250
   0.071,82.500
   0.071,83.750
   0.071,85.000
   0.071,86.250
   0.071,87.500
   0.071,88.125
   0.071,88.750
   0.071,89.375
   0.071,90.000
   0.079,90.625
   0.079,91.250
   0.079,91.875
   0.079,92.500
   0.079,93.125
   0.079,93.750
   0.079,94.062
   0.079,94.375
   0.087,94.688
   0.087,95.000
   0.087,95.312
   0.095,95.625
   0.103,95.938
   0.111,96.250
   0.575,96.562
   0.599,96.875
   0.607,97.031
   0.615,97.188
   0.623,97.344
   0.631,97.500
   0.639,97.656
   0.639,97.812
   0.647,97.969
   0.655,98.125
   0.663,98.281
   0.671,98.438
   0.671,98.516
   0.679,98.594
   0.679,98.672
   0.687,98.750
   0.687,98.828
   0.695,98.906
   0.703,98.984
   0.703,99.062
   0.711,99.141
   0.727,99.219
   0.727,99.258
   0.735,99.297
   0.735,99.336
   0.743,99.375
   0.751,99.414
   0.751,99.453
   0.759,99.492
   0.767,99.531
   0.775,99.570
   0.783,99.609
   0.783,99.629
   0.791,99.648
   0.791,99.668
   0.799,99.688
   0.807,99.707
   0.815,99.727
   0.823,99.746
   0.839,99.766
   0.871,99.785
   0.919,99.805
   0.951,99.814
   0.967,99.824
   0.991,99.834
   1.031,99.844
   1.095,99.854
   1.127,99.863
   1.151,99.873
   1.167,99.883
   1.183,99.893
   1.199,99.902
   1.207,99.907
   1.215,99.912
   1.223,99.917
   1.231,99.922
   1.239,99.927
   1.239,99.932
   1.247,99.937
   1.255,99.941
   1.263,99.946
   1.271,99.951
   1.271,99.954
   1.279,99.956
   1.287,99.958
   1.295,99.961
   1.303,99.963
   1.303,99.966
   1.311,99.968
   1.319,99.971
   1.327,99.973
   1.335,99.976
   1.335,99.977
   1.335,99.978
   1.343,99.979
   1.351,99.980
   1.359,99.982
   1.367,99.983
   1.375,99.984
   1.391,99.985
   1.407,99.987
   1.415,99.988
   1.415,99.988
   1.415,99.989
   1.423,99.990
   1.431,99.990
   1.439,99.991
   1.439,99.991
   1.447,99.992
   1.447,99.993
   1.471,99.993
   1.471,99.994
   1.479,99.994
   1.479,99.995
   1.487,99.995
   1.495,99.995
   1.495,99.995
   1.495,99.996
   1.495,99.996
   1.503,99.996
   1.503,99.997
   1.503,99.997
   1.503,99.997
   1.503,99.997
   1.503,99.997
   1.503,99.998
   1.503,99.998
   1.527,99.998
   1.527,99.998
   1.559,99.998
   1.559,99.998
   1.559,99.998
   1.559,99.999
   1.559,99.999
   1.559,99.999
   1.559,99.999
   1.559,99.999
   1.599,99.999
   1.599,99.999
   1.599,99.999
   1.599,99.999
   1.599,99.999
   1.639,99.999
   1.639,99.999
   1.639,99.999
   1.639,99.999
   1.639,99.999
   1.639,99.999
   1.639,100.000
   1.639,100.000
   1.639,100.000
   1.639,100.000
   1.743,100.000
   1.743,100.000

Full-Test WAIT Latency
Latency (<= msec),Percent
   0.000,100.000
