Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,11002,0.000090,11772140,0,0.000000,0,0,0,0,0.000000
1,13277,0.000074,14206390,0,0.000000,0,0,0,0,0.000000
2,14085,0.000070,15070950,0,0.000000,0,0,0,0,0.000000
3,12723,0.000077,13613610,0,0.000000,0,0,0,0,0.000000
4,14261,0.000069,15259270,0,0.000000,0,0,0,0,0.000000
5,14057,0.000070,15040990,0,0.000000,0,0,0,0,0.000000
6,13936,0.000071,14911520,0,0.000000,0,0,0,0,0.000000
7,13753,0.000072,14715710,0,0.000000,0,0,0,0,0.000000
8,13870,0.000071,14840900,0,0.000000,0,0,0,0,0.000000
9,12829,0.000077,13727030,0,0.000000,0,0,0,0,0.000000
10,12678,0.000078,13565460,0,0.000000,0,0,0,0,0.000000
11,13934,0.000071,14909380,0,0.000000,0,0,0,0,0.000000
12,13619,0.000072,14572330,0,0.000000,0,0,0,0,0.000000
13,13752,0.000072,14714640,0,0.000000,0,0,0,0,0.000000
14,11265,0.000087,12053550,0,0.000000,0,0,0,0,0.000000
15,11906,0.000083,12739420,0,0.000000,0,0,0,0,0.000000
16,12219,0.000081,13074330,0,0.000000,0,0,0,0,0.000000
17,11743,0.000084,12565010,0,0.000000,0,0,0,0,0.000000
18,12195,0.000081,13048650,0,0.000000,0,0,0,0,0.000000
19,13085,0.000075,14000950,0,0.000000,0,0,0,0,0.000000
20,13242,0.000074,14168940,0,0.000000,0,0,0,0,0.000000
21,1,0.000618,1070,0,0.000000,0,0,0,0,0.000000

Full-Test GET Latency
Latency (<= msec),Percent
   0.000,100.000

Full-Test SET Latency
Latency (<= msec),Percent
   0.039,0.000
   0.047,5.000
   0.047,10.000
   0.047,15.000
   0.047,20.000
   0.047,25.000
   0.055,30.000
   0.055,35.000
   0.055,40.000
   0.055,45.000
   0.055,50.000
   0.055,52.500
   0.063,55.000
   0.063,57.500
   0.063,60.000
   0.063,62.500
   0.063,65.000
   0.063,67.500
   0.063,70.000
   0.063,72.500
   0.063,75.000
   0.063,76.250
   0.063,77.500
   0.063,78.750
   0.063,80.000
   0.063,81.250
   0.071,82.500
   0.071,83.750
   0.071,85.000
   0.071,86.250
   0.071,87.500
   0.071,88.125
   0.071,88.750
   0.071,89.375
   0.071,90.000
   0.071,90.625
   0.079,91.250
   0.079,91.875
   0.079,92.500
   0.079,93.125
   0.079,93.750
   0.079,94.062
   0.079,94.375
   0.087,94.688
   0.087,95.000
   0.087,95.312
   0.095,95.625
   0.095,95.938
   0.111,96.250
   0.575,96.562
   0.591,96.875
   0.599,97.031
   0.607,97.188
   0.615,97.344
   0.615,97.500
   0.623,97.656
   0.623,97.812
   0.631,97.969
   0.639,98.125
   0.639,98.281
   0.647,98.438
   0.647,98.516
   0.647,98.594
   0.647,98.672
   0.655,98.750
   0.655,98.828
   0.655,98.906
   0.663,98.984
   0.663,99.062
   0.663,99.141
   0.671,99.219
   0.671,99.258
   0.671,99.297
   0.679,99.336
   0.679,99.375
   0.679,99.414
   0.679,99.453
   0.687,99.492
   0.687,99.531
   0.687,99.570
   0.695,99.609
   0.695,99.629
   0.695,99.648
   0.695,99.668
   0.703,99.688
   0.703,99.707
   0.703,99.727
   0.703,99.746
   0.711,99.766
   0.711,99.785
   0.719,99.805
   0.719,99.814
   0.719,99.824
   0.727,99.834
   0.727,99.844
   0.727,99.854
   0.735,99.863
   0.743,99.873
   0.751,99.883
   0.759,99.893
   0.775,99.902
   0.783,99.907
   0.799,99.912
   0.815,99.917
   0.847,99.922
   0.895,99.927
   0.943,99.932
   0.975,99.937
   1.015,99.941
   1.103,99.946
   1.135,99.951
   1.143,99.954
   1.159,99.956
   1.175,99.958
   1.191,99.961
   1.191,99.963
   1.199,99.966
   1.199,99.968
   1.207,99.971
   1.215,99.973
   1.223,99.976
   1.223,99.977
   1.231,99.978
   1.231,99.979
   1.239,99.980
   1.239,99.982
   1.247,99.983
   1.247,99.984
   1.255,99.985
   1.255,99.987
   1.263,99.988
   1.263,99.988
   1.263,99.989
   1.271,99.990
   1.271,99.990
   1.271,99.991
   1.279,99.991
   1.287,99.992
   1.287,99.993
   1.303,99.993
   1.311,99.994
   1.319,99.994
   1.319,99.995
   1.319,99.995
   1.327,99.995
   1.327,99.995
   1.327,99.996
   1.351,99.996
   1.351,99.996
   1.351,99.997
   1.351,99.997
   1.351,99.997
   1.351,99.997
   1.351,99.997
   1.359,99.998
   1.359,99.998
   1.359,99.998
   1.359,99.998
   1.359,99.998
   1.391,99.998
   1.391,99.998
   1.415,99.999
   1.415,99.999
   1.415,99.999
   1.415,99.999
   1.415,99.999
   1.447,99.999
   1.447,99.999
   1.447,99.999
   1.447,99.999
   1.447,99.999
   1.463,99.999
   1.463,99.999
   1.463,99.999
   1.463,99.999
   1.463,99.999
   1.463,99.999
   1.463,100.000
   1.463,100.000
   1.463,100.000
   1.463,100.000
   1.487,100.000
   1.487,100.000

Full-Test WAIT Latency
Latency (<= msec),Percent
   0.000,100.000
