Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,13361,0.000074,14296270,0,0.000000,0,0,0,0,0.000000
1,13068,0.000075,13982760,0,0.000000,0,0,0,0,0.000000
2,13119,0.000075,14037330,0,0.000000,0,0,0,0,0.000000
3,12934,0.000076,13839380,0,0.000000,0,0,0,0,0.000000
4,12225,0.000081,13080750,0,0.000000,0,0,0,0,0.000000
5,12186,0.000081,13039020,0,0.000000,0,0,0,0,0.000000
6,11918,0.000083,12752260,0,0.000000,0,0,0,0,0.000000
7,12049,0.000082,12892430,0,0.000000,0,0,0,0,0.000000
8,11767,0.000084,12590690,0,0.000000,0,0,0,0,0.000000
9,11255,0.000088,12042850,0,0.000000,0,0,0,0,0.000000
10,12044,0.000082,12887080,0,0.000000,0,0,0,0,0.000000
11,12509,0.000079,13384630,0,0.000000,0,0,0,0,0.000000
12,12159,0.000081,13010130,0,0.000000,0,0,0,0,0.000000
13,12178,0.000081,13030460,0,0.000000,0,0,0,0,0.000000
14,11759,0.000084,12582130,0,0.000000,0,0,0,0,0.000000
15,11590,0.000085,12401300,0,0.000000,0,0,0,0,0.000000
16,11730,0.000084,12551100,0,0.000000,0,0,0,0,0.000000
17,13007,0.000076,13917490,0,0.000000,0,0,0,0,0.000000
18,12455,0.000079,13326850,0,0.000000,0,0,0,0,0.000000
19,11320,0.000087,12112400,0,0.000000,0,0,0,0,0.000000
20,1,0.000611,1070,0,0.000000,0,0,0,0,0.000000

Full-Test GET Latency
Latency (<= msec),Percent
   0.000,100.000

Full-Test SET Latency
Latency (<= msec),Percent
   0.039,0.000
   0.047,5.000
   0.047,10.000
   0.047,15.000
   0.055,20.000
   0.055,25.000
   0.055,30.000
   0.055,35.000
   0.063,40.000
   0.063,45.000
   0.063,50.000
   0.063,52.500
   0.063,55.000
   0.063,57.500
   0.063,60.000
   0.063,62.500
   0.063,65.000
   0.063,67.500
   0.063,70.000
   0.063,72.500
   0.071,75.000
   0.071,76.250
   0.071,77.500
   0.071,78.750
   0.071,80.000
   0.071,81.250
   0.071,82.500
   0.071,83.750
   0.071,85.000
   0.071,86.250
   0.071,87.500
   0.071,88.125
   0.079,88.750
   0.079,89.375
   0.079,90.000
   0.079,90.625
   0.079,91.250
   0.079,91.875
   0.079,92.500
   0.079,93.125
   0.087,93.750
   0.087,94.062
   0.087,94.375
   0.087,94.688
   0.087,95.000
   0.095,95.312
   0.095,95.625
   0.111,95.938
   0.135,96.250
   0.599,96.562
   0.615,96.875
   0.623,97.031
   0.623,97.188
   0.631,97.344
   0.631,97.500
   0.639,97.656
   0.647,97.812
   0.647,97.969
   0.655,98.125
   0.655,98.281
   0.663,98.438
   0.663,98.516
   0.671,98.594
   0.671,98.672
   0.671,98.750
   0.679,98.828
   0.679,98.906
   0.687,98.984
   0.687,99.062
   0.695,99.141
   0.703,99.219
   0.703,99.258
   0.711,99.297
   0.711,99.336
   0.719,99.375
   0.727,99.414
   0.735,99.453
   0.743,99.492
   0.751,99.531
   0.775,99.570
   0.815,99.609
   0.831,99.629
   0.847,99.648
   0.855,99.668
   0.871,99.688
   0.887,99.707
   0.903,99.727
   0.911,99.746
   0.919,99.766
   0.935,99.785
   0.943,99.805
   0.943,99.814
   0.951,99.824
   0.959,99.834
   0.967,99.844
   0.975,99.854
   0.983,99.863
   0.991,99.873
   0.999,99.883
   1.007,99.893
   1.007,99.902
   1.015,99.907
   1.015,99.912
   1.023,99.917
   1.023,99.922
   1.031,99.927
   1.039,99.932
   1.039,99.937
   1.047,99.941
   1.055,99.946
   1.055,99.951
   1.063,99.954
   1.071,99.956
   1.071,99.958
   1.071,99.961
   1.071,99.963
   1.079,99.966
   1.079,99.968
   1.087,99.971
   1.095,99.973
   1.103,99.976
   1.103,99.977
   1.111,99.978
   1.119,99.979
   1.119,99.980
   1.127,99.982
   1.127,99.983
   1.135,99.984
   1.143,99.985
   1.151,99.987
   1.159,99.988
   1.159,99.988
   1.167,99.989
   1.175,99.990
   1.183,99.990
   1.183,99.991
   1.191,99.991
   1.191,99.992
   1.207,99.993
   1.215,99.993
   1.231,99.994
   1.231,99.994
   1.231,99.995
   1.231,99.995
   1.263,99.995
   1.263,99.995
   1.263,99.996
   1.271,99.996
   1.271,99.996
   1.271,99.997
   1.279,99.997
   1.279,99.997
   1.295,99.997
   1.295,99.997
   1.303,99.998
   1.303,99.998
   1.303,99.998
   1.335,99.998
   1.335,99.998
   1.335,99.998
   1.351,99.998
   1.351,99.999
   1.351,99.999
   1.351,99.999
   1.415,99.999
   1.415,99.999
   1.415,99.999
   1.415,99.999
   1.415,99.999
   1.415,99.999
   1.431,99.999
   1.431,99.999
   1.431,99.999
   1.431,99.999
   1.431,99.999
   1.431,99.999
   1.431,99.999
   1.431,100.000
   1.431,100.000
   1.431,100.000
   1.807,100.000
   1.807,100.000

Full-Test WAIT Latency
Latency (<= msec),Percent
   0.000,100.000
