Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,4073,0.000244,16866293,0,0.000000,0,0,0,0,0.000000
1,5913,0.000168,24485733,0,0.000000,0,0,0,0,0.000000
2,5313,0.000187,22001133,0,0.000000,0,0,0,0,0.000000
3,4702,0.000211,19470982,0,0.000000,0,0,0,0,0.000000
4,5112,0.000194,21168792,0,0.000000,0,0,0,0,0.000000
5,4321,0.000230,17893261,0,0.000000,0,0,0,0,0.000000
6,3977,0.000250,16468757,0,0.000000,0,0,0,0,0.000000
7,4322,0.000230,17897402,0,0.000000,0,0,0,0,0.000000
8,4018,0.000247,16638538,0,0.000000,0,0,0,0,0.000000
9,3852,0.000258,15951132,0,0.000000,0,0,0,0,0.000000
10,3919,0.000254,16228579,0,0.000000,0,0,0,0,0.000000
11,3932,0.000253,16282412,0,0.000000,0,0,0,0,0.000000
12,3949,0.000251,16352809,0,0.000000,0,0,0,0,0.000000
13,4028,0.000247,16679948,0,0.000000,0,0,0,0,0.000000
14,3905,0.000254,16170605,0,0.000000,0,0,0,0,0.000000
15,3941,0.000252,16319681,0,0.000000,0,0,0,0,0.000000
16,1,0.001396,4141,0,0.000000,0,0,0,0,0.000000

Full-Test GET Latency
Latency (<= msec),Percent
   0.000,100.000

Full-Test SET Latency
Latency (<= msec),Percent
   0.039,0.000
   0.063,5.000
   0.071,10.000
   0.071,15.000
   0.079,20.000
   0.079,25.000
   0.087,30.000
   0.087,35.000
   0.087,40.000
   0.087,45.000
   0.095,50.000
   0.095,52.500
   0.095,55.000
   0.095,57.500
   0.095,60.000
   0.095,62.500
   0.103,65.000
   0.103,67.500
   0.103,70.000
   0.103,72.500
   0.111,75.000
   0.111,76.250
   0.111,77.500
   0.119,78.750
   0.119,80.000
   0.127,81.250
   0.127,82.500
   0.135,83.750
   0.159,85.000
   0.575,86.250
   0.711,87.500
   0.751,88.125
   0.791,88.750
   0.863,89.375
   1.119,90.000
   1.151,90.625
   1.175,91.250
   1.191,91.875
   1.207,92.500
   1.223,93.125
   1.231,93.750
   1.239,94.062
   1.247,94.375
   1.255,94.688
   1.255,95.000
   1.263,95.312
   1.271,95.625
   1.271,95.938
   1.279,96.250
   1.287,96.562
   1.287,96.875
   1.295,97.031
   1.295,97.188
   1.303,97.344
   1.303,97.500
   1.311,97.656
   1.311,97.812
   1.311,97.969
   1.319,98.125
   1.319,98.281
   1.327,98.438
   1.327,98.516
   1.335,98.594
   1.335,98.672
   1.335,98.750
   1.343,98.828
   1.343,98.906
   1.343,98.984
   1.351,99.062
   1.351,99.141
   1.359,99.219
   1.359,99.258
   1.359,99.297
   1.367,99.336
   1.367,99.375
   1.367,99.414
   1.375,99.453
   1.375,99.492
   1.375,99.531
   1.383,99.570
   1.383,99.609
   1.383,99.629
   1.383,99.648
   1.391,99.668
   1.391,99.688
   1.399,99.707
   1.399,99.727
   1.407,99.746
   1.407,99.766
   1.415,99.785
   1.415,99.805
   1.415,99.814
   1.423,99.824
   1.423,99.834
   1.423,99.844
   1.431,99.854
   1.431,99.863
   1.439,99.873
   1.447,99.883
   1.447,99.893
   1.455,99.902
   1.455,99.907
   1.455,99.912
   1.463,99.917
   1.463,99.922
   1.463,99.927
   1.471,99.932
   1.471,99.937
   1.479,99.941
   1.487,99.946
   1.487,99.951
   1.487,99.954
   1.495,99.956
   1.495,99.958
   1.495,99.961
   1.495,99.963
   1.511,99.966
   1.511,99.968
   1.511,99.971
   1.511,99.973
   1.511,99.976
   1.511,99.977
   1.519,99.978
   1.519,99.979
   1.519,99.980
   1.527,99.982
   1.527,99.983
   1.535,99.984
   1.535,99.985
   1.543,99.987
   1.551,99.988
   1.551,99.988
   1.567,99.989
   1.567,99.990
   1.575,99.990
   1.575,99.991
   1.591,99.991
   1.591,99.992
   1.591,99.993
   1.599,99.993
   1.599,99.994
   1.599,99.994
   1.607,99.995
   1.607,99.995
   1.607,99.995
   1.607,99.995
   1.679,99.996
   1.679,99.996
   1.679,99.996
   1.679,99.997
   1.679,99.997
   1.679,99.997
   1.711,99.997
   1.711,99.997
   1.711,99.998
   1.711,99.998
   1.711,99.998
   1.711,99.998
   1.711,99.998
   1.711,99.998
   1.711,99.998
   1.711,99.999
   1.823,99.999
   1.823,100.000

Full-Test WAIT Latency
Latency (<= msec),Percent
   0.000,100.000
